,MC3Fair
M01,3
M02,4
M03,1
M04,2
M05,10
M06,6
M07,7
M08,11
M09,13
M10,16
M11,18
M12,17
M13,20
M14,19
W01,9
W02,8
W03,14
W04,5
W05,15
W06,12
