,MC3
M01,6
M02,9
M03,3
M04,5
M05,13
M06,8
M07,11
M08,14
M09,15
M10,16
M11,18
M12,17
M13,20
M14,19
W01,4
W02,1
W03,10
W04,2
W05,12
W06,7
