,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
EPIK,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.03544125938132853,0.5476190476190477,0.16008771929824558,0.8092105263157895,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Kemeny,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.008508090427496673,0.6428571428571429,0.1206140350877193,0.8171052631578948,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.008508090427496673,0.6428571428571429,0.1206140350877193,0.8171052631578948,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland_noWiG,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.008508090427496673,0.6428571428571429,0.12324561403508771,0.8214912280701754,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Schulze,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.010516246000918661,0.6666666666666666,0.12061403508771928,0.8276315789473684,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Borda,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.010516246000918661,0.6666666666666666,0.12149122807017544,0.8241228070175438,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Maximin,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.011519884483971343,0.6666666666666666,0.12149122807017543,0.8241228070175438,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
