,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,7,1,0,0,1,1,1
W02,0,2,2,3,2,2,2
W03,1,3,3,2,3,3,3
W04,6,4,5,5,4,4,4
W05,8,9,9,9,8,8,9
W06,10,7,7,7,7,7,5
M01,2,0,1,1,0,0,0
M02,4,5,4,4,5,6,6
M03,5,6,6,6,6,5,7
M04,9,8,8,8,9,9,8
M05,11,10,10,10,10,10,10
M06,12,11,11,11,11,11,11
M07,3,12,12,12,12,12,12
M08,13,13,13,13,13,13,13
M09,14,14,14,14,14,14,14
M10,16,15,15,15,15,15,15
M11,15,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
