,MC1Fair
M01,3
M02,1
M03,4
M04,8
M05,5
M06,7
M07,15
M08,2
M09,16
M10,18
M11,17
M12,6
M13,20
M14,19
W01,9
W02,11
W03,10
W04,13
W05,12
W06,14
