,MC2Fair
M01,1
M02,2
M03,3
M04,4
M05,13
M06,11
M07,8
M08,14
M09,15
M10,16
M11,17
M12,19
M13,18
M14,20
W01,6
W02,7
W03,5
W04,9
W05,10
W06,12
