,MC1Fair
M01,2
M02,3
M03,1
M04,4
M05,6
M06,5
M07,12
M08,14
M09,15
M10,16
M11,17
M12,19
M13,20
M14,18
W01,9
W02,10
W03,8
W04,7
W05,13
W06,11
