,MC2
M01,4
M02,6
M03,7
M04,10
M05,11
M06,12
M07,13
M08,14
M09,15
M10,16
M11,17
M12,18
M13,19
M14,20
W01,1
W02,2
W03,3
W04,5
W05,9
W06,8
