,MC3
M01,6
M02,4
M03,5
M04,3
M05,11
M06,8
M07,9
M08,15
M09,14
M10,16
M11,17
M12,18
M13,19
M14,20
W01,2
W02,1
W03,7
W04,13
W05,12
W06,10
