,MC2Fair
M01,3
M02,5
M03,6
M04,4
M05,9
M06,8
M07,7
M08,11
M09,10
M10,12
M11,13
M12,15
M13,16
M14,17
W01,2
W02,1
W03,14
W04,18
W05,20
W06,19
