,MC2
M01,3
M02,5
M03,6
M04,4
M05,10
M06,9
M07,8
M08,14
M09,12
M10,15
M11,17
M12,18
M13,19
M14,20
W01,1
W02,2
W03,7
W04,11
W05,16
W06,13
