,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,2,1,3,2,1,3
W02,2,1,2,1,1,3,0
W03,5,5,3,2,4,2,4
W04,4,4,5,5,3,5,5
W05,6,6,6,6,7,7,9
W06,3,3,4,4,5,4,6
M01,0,0,0,0,0,0,1
M02,7,7,7,7,8,6,10
M03,10,10,9,9,10,10,7
M04,9,9,8,8,6,8,2
M05,12,12,12,12,12,12,12
M06,8,8,11,11,9,9,8
M07,11,11,10,10,11,11,13
M08,14,14,14,14,14,14,14
M09,13,13,13,13,13,13,11
M10,15,15,15,15,15,15,15
M11,17,17,17,17,16,16,16
M12,16,16,16,16,17,17,17
M13,18,18,18,18,18,19,18
M14,19,19,19,19,19,18,19
