,MC2Fair
M01,6
M02,11
M03,1
M04,13
M05,4
M06,2
M07,14
M08,8
M09,16
M10,15
M11,17
M12,18
M13,20
M14,19
W01,3
W02,10
W03,7
W04,12
W05,9
W06,5
