,MC2
M01,10
M02,12
M03,2
M04,13
M05,9
M06,7
M07,14
M08,11
M09,16
M10,15
M11,17
M12,18
M13,20
M14,19
W01,1
W02,8
W03,4
W04,6
W05,5
W06,3
