,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,2,6,6,6,7,7,6,7,6,6,7,2,1,6,1,6
M02,3,8,8,8,11,8,8,8,10,8,8,1,2,8,2,8
M03,5,9,9,9,8,13,9,12,11,9,9,4,3,9,3,9
M04,6,10,10,10,9,9,10,9,7,10,10,3,4,10,4,10
M05,9,11,11,11,10,12,11,13,9,11,11,5,10,11,6,11
M06,8,12,12,12,12,10,12,10,13,12,12,6,11,12,12,12
M07,10,13,13,13,15,11,13,11,14,15,15,14,12,13,13,13
M08,13,14,14,14,13,14,14,14,15,13,13,15,14,14,15,15
M09,16,15,15,15,14,16,15,16,12,14,14,13,15,15,14,14
M10,15,17,17,17,17,15,16,15,18,16,16,17,16,17,16,16
M11,12,16,16,16,16,17,16,17,16,17,17,16,17,16,17,17
M12,18,18,18,18,19,18,17,18,20,18,18,18,18,18,18,18
M13,19,19,19,19,18,19,18,19,19,19,19,19,19,19,19,19
M14,20,20,20,20,20,20,18,20,17,20,20,20,20,20,20,20
W01,1,1,1,1,1,1,1,1,1,1,1,7,5,1,5,1
W02,7,2,2,2,2,2,2,2,3,2,2,9,6,2,7,2
W03,11,4,4,4,3,3,3,3,4,4,3,8,7,3,9,3
W04,4,3,3,3,4,4,4,4,5,3,4,10,8,4,8,4
W05,17,5,5,5,5,5,5,5,2,5,5,11,9,5,10,5
W06,14,7,7,7,6,6,7,6,8,7,6,12,13,7,11,7
