,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,2,2,5,2,2,2
W02,4,3,3,7,3,3,4
W03,3,6,5,3,5,5,3
W04,5,4,4,2,4,4,5
W05,7,5,6,4,6,6,6
W06,6,7,7,6,7,7,7
M01,0,0,0,0,0,0,0
M02,1,1,1,1,1,1,1
M03,8,8,8,8,8,8,8
M04,9,9,9,9,9,9,9
M05,10,10,10,10,10,10,10
M06,11,11,11,11,11,11,11
M07,13,12,12,12,12,12,12
M08,14,13,13,13,13,13,13
M09,12,14,14,14,14,14,14
M10,15,16,16,16,16,16,15
M11,16,15,15,15,15,15,16
M12,17,17,17,17,17,17,17
M13,19,19,19,19,18,18,18
M14,18,18,18,18,19,19,19
