,MC3Fair
M01,1
M02,2
M03,3
M04,4
M05,12
M06,11
M07,13
M08,14
M09,15
M10,16
M11,17
M12,18
M13,19
M14,20
W01,5
W02,6
W03,7
W04,8
W05,10
W06,9
