,MC2Fair
M01,1
M02,2
M03,3
M04,7
M05,8
M06,9
M07,11
M08,12
M09,13
M10,14
M11,16
M12,17
M13,19
M14,20
W01,4
W02,5
W03,6
W04,10
W05,18
W06,15
