,MC2Fair
M01,6
M02,9
M03,1
M04,3
M05,10
M06,4
M07,7
M08,12
M09,11
M10,13
M11,14
M12,17
M13,18
M14,19
W01,8
W02,5
W03,15
W04,2
W05,20
W06,16
