,MC1
M01,7
M02,9
M03,4
M04,8
M05,11
M06,15
M07,5
M08,13
M09,14
M10,18
M11,17
M12,16
M13,20
M14,19
W01,3
W02,2
W03,10
W04,1
W05,6
W06,12
