,MC1Fair
M01,10
M02,12
M03,5
M04,2
M05,1
M06,9
M07,8
M08,7
M09,13
M10,4
M11,6
M12,11
M13,20
M14,19
W01,14
W02,15
W03,16
W04,18
W05,3
W06,17
