,MC3
M01,4
M02,11
M03,8
M04,5
M05,9
M06,16
M07,13
M08,15
M09,12
M10,7
M11,18
M12,17
M13,20
M14,19
W01,1
W02,3
W03,14
W04,6
W05,2
W06,10
