,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
EPIK,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.015953643255457284,0.7142857142857143,0.13201754385964912,0.8381578947368421,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Kemeny,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.015953643255457284,0.7142857142857143,0.12675438596491226,0.8539473684210527,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.015953643255457284,0.7142857142857143,0.12763157894736843,0.8399122807017544,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland_noWiG,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.015953643255457284,0.7142857142857143,0.14956140350877192,0.8337719298245614,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Schulze,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.015953643255457284,0.7142857142857143,0.1276315789473684,0.8407894736842105,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Borda,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.015953643255457284,0.7142857142857143,0.1276315789473684,0.8407894736842105,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Maximin,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.015953643255457284,0.7142857142857143,0.1293859649122807,0.8442982456140351,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
