,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,5,5,4,4,5,4,7
W02,6,6,6,6,6,7,8
W03,7,7,7,7,7,6,3
W04,8,8,9,9,8,9,9
W05,2,3,5,5,2,3,1
W06,1,1,2,2,1,2,4
M01,3,2,1,1,3,1,2
M02,0,0,0,0,0,0,0
M03,11,11,11,11,11,11,11
M04,4,4,3,3,4,5,5
M05,9,9,8,8,9,8,6
M06,10,10,10,10,10,10,12
M07,12,12,12,12,12,12,10
M08,13,13,13,13,13,13,13
M09,14,15,15,15,15,15,15
M10,15,14,14,14,14,14,14
M11,16,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
