,MC3Fair
M01,1
M02,2
M03,4
M04,3
M05,5
M06,6
M07,13
M08,14
M09,15
M10,17
M11,19
M12,18
M13,16
M14,20
W01,10
W02,7
W03,12
W04,9
W05,11
W06,8
