,MC3
M01,7
M02,9
M03,10
M04,11
M05,12
M06,8
M07,13
M08,14
M09,16
M10,17
M11,18
M12,15
M13,19
M14,20
W01,1
W02,2
W03,3
W04,4
W05,6
W06,5
