,MC1
M01,7
M02,9
M03,10
M04,12
M05,11
M06,8
M07,13
M08,14
M09,16
M10,17
M11,20
M12,15
M13,19
M14,18
W01,1
W02,4
W03,3
W04,2
W05,6
W06,5
