,MC3Fair
M01,1
M02,3
M03,9
M04,11
M05,12
M06,2
M07,13
M08,14
M09,16
M10,17
M11,18
M12,15
M13,19
M14,20
W01,4
W02,6
W03,5
W04,7
W05,10
W06,8
