,MC3Fair
M01,3
M02,1
M03,2
M04,5
M05,8
M06,12
M07,14
M08,13
M09,15
M10,17
M11,16
M12,19
M13,18
M14,20
W01,4
W02,7
W03,6
W04,11
W05,10
W06,9
