,MC2Fair
M01,6
M02,1
M03,2
M04,7
M05,8
M06,9
M07,10
M08,11
M09,16
M10,17
M11,15
M12,19
M13,18
M14,20
W01,3
W02,4
W03,5
W04,13
W05,14
W06,12
