,MC2
M01,9
M02,10
M03,2
M04,6
M05,11
M06,12
M07,13
M08,15
M09,14
M10,16
M11,17
M12,18
M13,19
M14,20
W01,1
W02,4
W03,5
W04,7
W05,8
W06,3
