,MC2Fair
M01,4
M02,5
M03,1
M04,3
M05,8
M06,9
M07,10
M08,14
M09,13
M10,16
M11,17
M12,18
M13,19
M14,20
W01,2
W02,6
W03,11
W04,12
W05,15
W06,7
