,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,3,3,7,3,3,3
W02,4,4,4,2,4,4,4
W03,3,2,2,6,2,2,2
W04,5,5,5,3,5,5,5
W05,6,6,6,4,6,6,7
W06,7,7,7,5,7,7,6
M01,0,0,0,0,0,8,0
M02,2,8,8,8,1,0,1
M03,8,1,1,1,8,1,9
M04,9,9,9,9,9,9,10
M05,12,12,12,12,12,12,11
M06,11,11,11,11,10,11,12
M07,10,10,10,10,11,10,13
M08,13,13,13,13,13,13,8
M09,14,14,14,14,14,14,14
M10,15,16,15,15,15,15,15
M11,16,15,17,17,16,16,16
M12,18,18,18,18,17,17,17
M13,17,17,16,16,18,18,18
M14,19,19,19,19,19,19,19
