,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2160274823736467,0.8571428571428571
ranker 2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22489083077537828,0.8571428571428571
ranker 3,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.22146487962818534,0.9047619047619048
ranker 4,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21457370209220214,0.8571428571428571
ranker 5,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.06858627524328342,0.8095238095238095
ranker 6,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2342076115094255,0.9285714285714286
ranker 7,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.247157703814712,0.9761904761904762
ranker 8,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21987088114548162,0.8095238095238095
ranker 9,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23888708832660618,0.9285714285714286
ranker 10,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.06858627524328342,0.8095238095238095
ranker 11,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2344533295551202,0.8809523809523809
ranker 12,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22187903671890355,0.8333333333333334
