,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,2,2,1,2,2,2
W02,3,3,3,2,3,3,3
W03,2,1,1,6,1,1,1
W04,4,4,4,3,4,4,4
W05,5,5,5,4,5,5,6
W06,6,6,6,5,6,6,5
M01,0,0,0,0,0,8,0
M02,8,8,8,8,7,0,7
M03,9,7,7,7,8,7,9
M04,7,9,9,9,9,9,10
M05,15,12,12,12,12,12,11
M06,12,11,11,11,10,11,12
M07,10,10,10,10,11,10,13
M08,13,13,13,13,13,13,8
M09,16,14,14,14,14,14,14
M10,14,16,15,15,15,15,15
M11,17,15,17,17,16,16,16
M12,11,18,18,18,17,17,17
M13,18,17,16,16,18,18,18
M14,19,19,19,19,19,19,19
