,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
0,6,6,6,6,6,7,6
1,0,8,8,8,7,8,7
2,7,2,2,1,2,2,2
3,2,0,0,3,0,0,0
4,1,1,1,4,1,1,1
5,3,3,3,5,3,3,3
6,4,4,4,2,4,4,5
7,5,5,5,0,5,5,4
8,8,7,7,7,8,6,13
9,9,9,9,9,9,9,8
10,12,12,12,12,11,12,9
11,11,11,11,11,12,11,10
12,10,10,10,10,10,10,11
13,13,13,13,13,13,13,12
14,14,14,14,14,14,14,14
15,15,16,15,15,15,15,15
16,16,15,18,18,16,16,16
17,18,18,16,16,17,17,17
18,17,17,17,17,18,18,18
19,19,19,19,19,19,19,19
