,MC2Fair
M01,1
M02,7
M03,8
M04,6
M05,2
M06,13
M07,14
M08,15
M09,10
M10,5
M11,16
M12,17
M13,19
M14,18
W01,3
W02,9
W03,20
W04,11
W05,4
W06,12
