,MC3Fair
M01,1
M02,6
M03,3
M04,2
M05,5
M06,15
M07,11
M08,14
M09,10
M10,4
M11,17
M12,18
M13,20
M14,19
W01,8
W02,9
W03,16
W04,12
W05,7
W06,13
