,MC2Fair
M01,4
M02,2
M03,3
M04,5
M05,8
M06,6
M07,9
M08,10
M09,12
M10,13
M11,14
M12,15
M13,17
M14,16
W01,1
W02,7
W03,11
W04,19
W05,20
W06,18
