,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,3,7,7,6,4,6,8,4,2,6,6,2,4,9,2,6
M02,6,10,10,10,11,7,10,8,7,8,7,3,5,10,4,10
M03,2,2,2,2,6,8,2,6,4,2,8,1,1,2,1,2
M04,5,9,9,8,7,10,7,10,5,10,10,4,3,6,3,9
M05,8,11,11,11,12,11,11,11,8,11,11,5,8,11,6,11
M06,10,12,12,12,8,12,12,12,12,12,12,6,9,12,7,12
M07,9,13,13,13,13,13,13,13,13,13,13,13,10,13,13,13
M08,13,15,15,15,16,14,15,14,16,16,16,15,14,15,15,15
M09,12,14,14,14,14,15,14,15,14,14,14,14,13,14,14,14
M10,15,16,16,16,17,17,16,17,17,17,17,17,16,16,17,17
M11,16,17,17,17,15,16,17,16,15,15,15,16,17,17,16,16
M12,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
M13,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
M14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
W01,1,1,1,1,1,1,1,1,1,1,1,8,2,1,5,1
W02,11,3,3,3,2,2,3,2,3,3,2,12,6,4,8,3
W03,14,5,6,7,3,3,5,3,10,5,3,7,11,5,12,5
W04,4,8,8,9,9,4,6,5,11,7,4,10,12,7,11,7
W05,17,6,5,5,5,9,9,9,6,9,9,9,15,8,10,8
W06,7,4,4,4,10,5,4,7,9,4,5,11,7,3,9,4
