,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,0,0,0,0,1,0,1
W02,3,3,3,5,2,3,2
W03,5,5,5,4,6,5,3
W04,6,6,7,7,3,7,4
W05,8,8,8,8,4,6,6
W06,2,2,4,3,5,4,7
M01,7,7,6,6,7,2,5
M02,9,9,9,9,9,9,8
M03,1,1,1,2,0,1,0
M04,4,4,2,1,8,8,9
M05,10,10,10,10,10,10,10
M06,11,11,11,11,11,11,11
M07,12,12,12,12,12,12,12
M08,14,14,14,14,14,14,13
M09,13,13,13,13,13,13,14
M10,15,15,15,15,15,15,15
M11,16,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
