,MC2
M01,19
M02,3
M03,9
M04,11
M05,10
M06,17
M07,16
M08,8
M09,13
M10,4
M11,18
M12,20
M13,5
M14,15
W01,14
W02,7
W03,1
W04,12
W05,2
W06,6
