,MC3Fair
M01,18
M02,1
M03,7
M04,8
M05,5
M06,15
M07,14
M08,6
M09,12
M10,2
M11,16
M12,20
M13,3
M14,17
W01,19
W02,11
W03,4
W04,13
W05,10
W06,9
