,MC3
M01,6
M02,3
M03,13
M04,7
M05,15
M06,8
M07,18
M08,9
M09,16
M10,17
M11,14
M12,12
M13,20
M14,19
W01,1
W02,4
W03,2
W04,10
W05,11
W06,5
