,MC1Fair
M01,12
M02,5
M03,9
M04,4
M05,16
M06,3
M07,10
M08,14
M09,13
M10,8
M11,2
M12,11
M13,20
M14,19
W01,1
W02,7
W03,6
W04,17
W05,18
W06,15
