,MC2Fair
M01,4
M02,2
M03,11
M04,1
M05,12
M06,7
M07,15
M08,8
M09,16
M10,13
M11,10
M12,9
M13,19
M14,18
W01,3
W02,5
W03,6
W04,20
W05,17
W06,14
