,MC3
M01,8
M02,9
M03,5
M04,7
M05,13
M06,11
M07,14
M08,10
M09,17
M10,15
M11,16
M12,19
M13,18
M14,20
W01,3
W02,6
W03,2
W04,1
W05,12
W06,4
