,MC2
M01,8
M02,9
M03,5
M04,7
M05,13
M06,11
M07,14
M08,10
M09,15
M10,16
M11,19
M12,18
M13,17
M14,20
W01,4
W02,6
W03,2
W04,1
W05,12
W06,3
