,MC1Fair
M01,3
M02,8
M03,1
M04,7
M05,10
M06,6
M07,5
M08,2
M09,16
M10,9
M11,4
M12,19
M13,18
M14,20
W01,13
W02,15
W03,11
W04,14
W05,17
W06,12
