,MC2Fair
M01,5
M02,7
M03,16
M04,14
M05,20
M06,2
M07,18
M08,19
M09,1
M10,12
M11,13
M12,3
M13,15
M14,17
W01,11
W02,8
W03,4
W04,10
W05,9
W06,6
