,MC3
M01,3
M02,6
M03,19
M04,13
M05,16
M06,2
M07,20
M08,14
M09,1
M10,9
M11,10
M12,4
M13,12
M14,17
W01,18
W02,5
W03,7
W04,15
W05,11
W06,8
