,MC3Fair
M01,3
M02,7
M03,19
M04,13
M05,17
M06,2
M07,20
M08,15
M09,1
M10,9
M11,11
M12,4
M13,12
M14,18
W01,16
W02,5
W03,6
W04,14
W05,10
W06,8
