,MC3Fair
M01,2
M02,4
M03,1
M04,3
M05,12
M06,6
M07,11
M08,5
M09,17
M10,15
M11,14
M12,19
M13,18
M14,20
W01,9
W02,13
W03,8
W04,7
W05,16
W06,10
