,MC2Fair
M01,4
M02,3
M03,1
M04,2
M05,11
M06,10
M07,12
M08,9
M09,14
M10,15
M11,18
M12,17
M13,16
M14,19
W01,8
W02,13
W03,6
W04,5
W05,20
W06,7
