,MC2
M01,10
M02,18
M03,3
M04,9
M05,19
M06,11
M07,4
M08,13
M09,5
M10,8
M11,6
M12,14
M13,17
M14,1
W01,12
W02,2
W03,7
W04,16
W05,15
W06,20
