,MC2Fair
M01,9
M02,19
M03,4
M04,10
M05,18
M06,12
M07,3
M08,16
M09,6
M10,11
M11,5
M12,14
M13,13
M14,2
W01,7
W02,1
W03,8
W04,15
W05,17
W06,20
