,MC3
M01,10
M02,17
M03,3
M04,11
M05,18
M06,8
M07,4
M08,16
M09,7
M10,9
M11,5
M12,14
M13,19
M14,1
W01,15
W02,2
W03,6
W04,12
W05,13
W06,20
