,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
EPIK,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.00404282027832259,0.5,0.11096491228070175,0.8399122807017544,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Kemeny,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.00404282027832259,0.5,0.11096491228070175,0.8451754385964912,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.00404282027832259,0.5,0.11359649122807018,0.849561403508772,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland_noWiG,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.00404282027832259,0.5,0.11359649122807018,0.849561403508772,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Schulze,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.00404282027832259,0.5,0.11096491228070175,0.8451754385964912,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Borda,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.016992912583609132,0.5476190476190477,0.11447368421052632,0.8521929824561404,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Maximin,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.03156851474928768,0.6428571428571429,0.12236842105263157,0.8592105263157894,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
