,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,3,2,2,2,0,2,1
W02,0,0,0,0,2,0,2
W03,7,8,7,7,6,6,7
W04,10,10,10,10,11,11,10
W05,15,15,15,15,15,14,8
W06,12,12,12,12,10,10,6
M01,5,3,1,1,3,5,4
M02,1,4,3,3,4,4,0
M03,4,5,5,5,5,3,5
M04,2,1,4,4,1,1,3
M05,9,9,9,9,9,9,11
M06,6,7,8,8,7,8,9
M07,8,6,6,6,8,7,12
M08,13,14,14,14,13,13,13
M09,11,11,11,11,12,12,14
M10,14,13,13,13,14,15,15
M11,16,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
