,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,5,2,2,1,1,2,1
W02,0,1,1,2,2,1,2
W03,8,8,7,7,6,6,7
W04,11,10,10,10,11,11,10
W05,17,15,15,15,15,14,8
W06,15,12,12,12,10,10,6
M01,4,3,0,0,3,5,4
M02,3,4,3,3,4,4,0
M03,1,5,5,5,5,3,5
M04,2,0,4,4,0,0,3
M05,10,9,9,9,9,9,11
M06,7,7,8,8,7,8,9
M07,6,6,6,6,8,7,12
M08,13,14,14,14,13,13,13
M09,12,11,11,11,12,12,14
M10,14,13,13,13,14,15,15
M11,18,16,16,16,16,16,16
M12,9,17,17,17,17,17,17
M13,16,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
