,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,2,6,6,6,5,12,2,4,3,9,10,6,10,3,3,4,6
M02,3,5,5,4,8,13,4,7,5,5,5,4,8,5,5,2,4
M03,4,4,4,5,6,2,5,5,8,3,2,2,3,6,6,3,5
M04,6,3,3,3,7,3,3,6,4,2,3,1,2,4,4,1,3
M05,9,10,10,10,9,8,9,11,9,10,9,7,9,9,10,9,11
M06,10,9,9,9,10,6,8,10,7,7,6,3,6,8,9,7,8
M07,7,8,8,8,13,7,7,9,11,6,7,5,7,7,8,8,9
M08,13,14,15,15,16,14,13,15,12,12,11,14,15,11,14,15,15
M09,14,13,13,14,14,15,11,14,16,13,13,13,14,10,12,13,14
M10,11,16,16,16,15,16,14,16,17,14,14,16,16,12,15,16,16
M11,16,17,17,18,18,17,16,17,19,18,18,18,18,13,17,17,17
M12,18,18,18,17,17,18,17,18,15,17,17,17,17,15,18,18,18
M13,19,19,19,19,19,19,18,19,18,19,19,19,19,16,19,19,19
M14,20,20,20,20,20,20,19,20,20,20,20,20,20,17,20,20,20
W01,1,2,2,2,1,4,1,1,2,4,4,10,5,2,1,6,2
W02,5,1,1,1,2,1,1,2,1,1,1,8,1,1,2,5,1
W03,8,7,7,7,11,5,6,8,14,8,8,9,4,14,7,10,7
W04,12,12,12,12,12,9,10,12,13,15,15,15,13,18,11,14,13
W05,15,15,14,13,3,10,15,3,6,16,16,11,11,20,16,12,12
W06,17,11,11,11,4,11,12,13,10,11,12,12,12,19,13,11,10
