,MC3Fair
M01,2
M02,1
M03,11
M04,3
M05,15
M06,4
M07,18
M08,7
M09,16
M10,17
M11,12
M12,10
M13,20
M14,19
W01,5
W02,8
W03,6
W04,14
W05,13
W06,9
