,MC2
M01,7
M02,5
M03,13
M04,6
M05,15
M06,8
M07,17
M08,10
M09,18
M10,16
M11,14
M12,12
M13,20
M14,19
W01,1
W02,3
W03,2
W04,11
W05,9
W06,4
