,MC2
M01,3
M02,1
M03,12
M04,5
M05,9
M06,11
M07,13
M08,14
M09,16
M10,15
M11,17
M12,18
M13,19
M14,20
W01,6
W02,7
W03,8
W04,10
W05,4
W06,2
